"","ID","2","3","4","5"
"1",1,1,3,3,7
"2",2,1,100,100,100
"3",3,1,1,4,1
"4",4,NA,NA,NA,NA
"5",5,NA,NA,NA,NA
"6",6,1,5,100,100
"7",7,11,11,14,25
"8",8,1,2,5,7
"9",9,11,100,100,100
"10",10,1,15,19,100
"11",11,2,3,1,44
"12",12,1,17,56,6
"13",13,2,100,100,100
"14",14,1,1,13,46
"15",15,2,100,45,64
"16",16,1,1,3,18
"17",17,1,1,11,100
"18",18,1,2,24,100
"19",19,1,1,1,3
"20",20,1,1,16,24
"21",21,1,1,3,1
"22",22,100,8,100,100
"23",23,NA,NA,NA,NA
"24",24,1,1,1,2
"25",25,NA,NA,NA,NA
"26",26,NA,NA,NA,NA
"27",27,NA,NA,NA,NA
"28",28,1,1,100,100
"29",29,2,100,100,100
"30",30,1,9,25,34
"31",31,1,30,57,100
"32",32,1,100,42,100
"33",33,1,1,7,61
"34",34,1,1,1,7
"35",35,1,52,100,100
"36",36,1,16,100,100
"37",37,2,5,36,100
"38",38,1,2,8,2
"39",39,NA,NA,NA,NA
"40",40,1,3,3,56
"41",41,1,2,2,7
"42",42,1,6,100,100
"43",43,1,2,84,100
"44",44,13,100,100,100
"45",45,1,1,13,50
"46",46,1,1,6,41
"47",47,NA,NA,NA,NA
"48",48,1,1,4,33
"49",49,2,1,7,6
"50",50,51,100,100,100
"51",51,1,1,1,100
"52",52,1,1,3,29
"53",53,2,100,100,100
"54",54,NA,NA,NA,NA
"55",55,3,6,100,100
"56",56,1,1,3,10
"57",57,1,1,5,22
"58",58,2,22,27,100
"59",59,1,1,3,1
"60",60,1,1,8,2
"61",61,1,1,3,35
"62",62,1,4,16,17
"63",63,1,1,3,4
"64",64,2,42,60,100
"65",65,1,1,1,3
"66",66,2,100,100,100
"67",67,1,4,9,100
"68",68,NA,NA,NA,NA
"69",69,NA,NA,NA,NA
"70",70,6,100,100,100
