"","ID","2","3","4","5"
"1",2,NA,NA,NA,NA
"2",3,NA,NA,NA,NA
"3",4,NA,NA,NA,NA
"4",5,NA,NA,NA,NA
"5",6,NA,NA,NA,NA
"6",7,1,16,70,81
"7",8,1,17,100,100
"8",9,NA,NA,NA,NA
"9",10,1,100,100,100
"10",11,11,83,100,100
"11",12,NA,NA,NA,NA
"12",14,13,100,100,100
"13",15,NA,NA,NA,NA
"14",16,NA,NA,NA,NA
"15",17,1,99,100,100
"16",18,100,100,100,76
"17",20,NA,NA,NA,NA
"18",21,NA,NA,NA,NA
"19",22,1,1,24,100
"20",23,NA,NA,NA,NA
"21",24,1,22,34,100
"22",25,NA,NA,NA,NA
"23",26,NA,NA,NA,NA
"24",27,NA,NA,NA,NA
"25",28,NA,NA,NA,NA
"26",29,NA,NA,NA,NA
"27",30,NA,NA,NA,NA
"28",31,NA,NA,NA,NA
"29",32,NA,NA,NA,NA
"30",33,NA,NA,NA,NA
"31",34,NA,NA,NA,NA
"32",35,NA,NA,NA,NA
"33",36,18,100,100,100
"34",37,NA,NA,NA,NA
"35",38,NA,NA,NA,NA
"36",39,NA,NA,NA,NA
"37",40,24,100,100,100
"38",41,NA,NA,NA,NA
"39",42,NA,NA,NA,NA
"40",43,NA,NA,NA,NA
"41",44,1,100,100,100
"42",46,NA,NA,NA,NA
"43",47,NA,NA,NA,NA
"44",48,45,100,100,100
"45",49,NA,NA,NA,NA
"46",50,NA,NA,NA,NA
"47",51,NA,NA,NA,NA
"48",52,1,2,4,26
"49",53,NA,NA,NA,NA
"50",54,NA,NA,NA,NA
"51",55,NA,NA,NA,NA
"52",56,NA,NA,NA,NA
"53",57,7,5,39,100
"54",58,2,10,100,100
"55",59,1,68,100,100
"56",60,100,38,100,100
"57",61,1,2,85,100
"58",62,NA,NA,NA,NA
"59",63,2,70,100,100
"60",64,NA,NA,NA,NA
"61",65,NA,NA,NA,NA
"62",66,NA,NA,NA,NA
"63",67,NA,NA,NA,NA
"64",68,1,1,70,100
"65",69,NA,NA,NA,NA
"66",70,1,44,100,100
"67",71,1,26,100,100
"68",72,NA,NA,NA,NA
"69",73,NA,NA,NA,NA
"70",74,10,2,100,100
"71",75,2,100,100,100
"72",76,NA,NA,NA,NA
"73",77,13,100,100,100
"74",78,12,100,100,100
"75",79,NA,NA,NA,NA
