"","ID","2","3","4","5"
"1",1,1,1,1,1
"2",2,1,1,1,1
"3",3,3,89,100,100
"4",4,1,7,5,44
"5",5,1,6,1,32
"6",6,1,1,1,1
"7",7,2,2,1,71
"8",8,1,1,88,100
"9",9,2,2,5,8
"10",10,1,1,1,1
"11",11,2,10,100,100
"12",12,1,1,1,1
"13",13,1,1,1,1
"14",14,1,1,43,2
"15",15,100,8,11,17
"16",16,1,1,1,4
"17",17,10,100,100,100
"18",18,1,1,1,1
"19",19,1,3,3,17
"20",20,1,1,4,3
"21",21,1,1,2,1
"22",22,1,1,1,1
"23",23,1,1,1,1
"24",24,1,2,1,1
"25",25,1,1,1,1
"26",26,NA,NA,NA,NA
"27",27,1,1,1,1
"28",28,1,1,1,1
"29",29,1,1,1,1
"30",30,1,1,13,100
"31",31,1,1,1,2
"32",32,1,1,10,30
"33",33,1,1,1,1
"34",34,1,1,1,13
"35",35,1,1,1,1
"36",36,1,1,1,1
"37",37,1,1,1,1
"38",38,1,1,1,1
"39",39,1,1,1,1
"40",40,NA,NA,NA,NA
"41",41,NA,NA,NA,NA
"42",42,1,1,2,3
"43",43,1,1,4,1
"44",44,1,2,2,52
"45",45,1,1,1,1
"46",46,4,20,100,64
"47",47,1,1,1,1
"48",48,1,1,1,1
"49",49,6,3,7,36
"50",50,NA,NA,NA,NA
"51",51,1,3,28,5
"52",52,1,1,1,1
"53",53,1,1,1,1
"54",54,1,1,1,1
"55",55,NA,NA,NA,NA
"56",56,1,1,1,1
"57",57,1,1,1,1
"58",58,2,1,1,1
"59",59,1,2,100,100
"60",60,1,1,1,1
"61",61,9,100,100,61
"62",62,1,1,1,1
"63",63,1,1,9,1
"64",64,1,1,1,2
"65",65,1,2,1,2
"66",66,1,1,3,1
"67",67,1,1,1,1
"68",68,1,10,100,100
"69",69,1,3,5,2
"70",70,1,1,3,1
"71",71,1,2,2,100
"72",72,1,1,1,1
"73",73,1,1,2,4
"74",74,NA,NA,NA,NA
"75",75,1,7,7,100
"76",76,1,1,1,2
"77",77,1,1,1,1
"78",78,2,1,21,100
"79",79,1,1,100,100
