"","ID","2","3","4","5"
"1",1,NA,NA,NA,NA
"2",2,NA,NA,NA,NA
"3",3,29,100,100,100
"4",4,2,6,76,11
"5",5,1,2,1,35
"6",6,5,1,100,100
"7",7,1,6,100,100
"8",8,64,100,100,100
"9",9,NA,NA,NA,NA
"10",10,NA,NA,NA,NA
"11",11,1,2,18,100
"12",12,NA,NA,NA,NA
"13",13,NA,NA,NA,NA
"14",14,1,100,100,100
"15",15,NA,NA,NA,NA
"16",16,NA,NA,NA,NA
"17",17,NA,NA,NA,NA
"18",18,NA,NA,NA,NA
"19",19,NA,NA,NA,NA
"20",20,NA,NA,NA,NA
"21",21,NA,NA,NA,NA
"22",22,13,100,100,100
"23",23,NA,NA,NA,NA
"24",24,NA,NA,NA,NA
"25",25,2,6,19,100
"26",26,1,1,7,30
"27",27,NA,NA,NA,NA
"28",28,6,4,29,100
"29",29,NA,NA,NA,NA
"30",30,61,100,100,100
"31",31,2,100,100,100
"32",32,10,100,100,100
"33",33,NA,NA,NA,NA
"34",34,NA,NA,NA,NA
"35",35,NA,NA,NA,NA
"36",36,1,4,39,100
"37",37,NA,NA,NA,NA
"38",38,NA,NA,NA,NA
"39",39,NA,NA,NA,NA
"40",40,NA,NA,NA,NA
"41",41,NA,NA,NA,NA
"42",42,NA,NA,NA,NA
"43",43,4,2,100,100
"44",44,1,100,100,100
"45",45,NA,NA,NA,NA
"46",46,35,100,100,100
"47",47,NA,NA,NA,NA
"48",48,1,100,100,100
"49",49,NA,NA,NA,NA
"50",50,4,100,100,100
"51",51,NA,NA,NA,NA
"52",52,NA,NA,NA,NA
"53",53,NA,NA,NA,NA
"54",54,1,1,32,100
"55",55,16,1,67,100
"56",56,11,100,100,100
"57",57,1,100,100,100
"58",58,NA,NA,NA,NA
"59",59,24,100,100,100
"60",60,100,100,2,100
"61",61,1,66,100,100
"62",62,NA,NA,NA,NA
"63",63,NA,NA,NA,NA
"64",64,2,21,100,100
"65",65,NA,NA,NA,NA
"66",66,NA,NA,NA,NA
"67",67,NA,NA,NA,NA
"68",68,7,100,100,100
"69",69,2,100,100,100
"70",70,2,100,100,100
"71",71,1,8,100,100
"72",72,NA,NA,NA,NA
"73",73,NA,NA,NA,NA
"74",74,NA,NA,NA,NA
"75",75,1,18,100,100
"76",76,NA,NA,NA,NA
"77",77,NA,NA,NA,NA
"78",78,63,100,100,100
"79",79,2,1,2,34
"80",80,4,100,100,100
"81",81,NA,NA,NA,NA
"82",82,NA,NA,NA,NA
"83",83,NA,NA,NA,NA
"84",84,3,100,100,100
"85",85,12,48,100,100
