"","ID","2","3","4","5"
"1",1,NA,NA,NA,NA
"2",2,82,100,100,100
"3",3,11,100,100,100
"4",4,1,4,100,100
"5",5,15,100,100,100
"6",6,3,12,100,100
"7",9,7,100,100,100
"8",10,7,100,100,100
"9",11,NA,NA,NA,NA
"10",12,NA,NA,NA,NA
"11",13,1,29,100,100
"12",14,NA,NA,NA,NA
"13",15,NA,NA,NA,NA
"14",16,1,1,46,100
"15",17,NA,NA,NA,NA
"16",18,1,3,21,100
"17",19,NA,NA,NA,NA
"18",20,NA,NA,NA,NA
"19",21,2,100,100,100
"20",22,NA,NA,NA,NA
"21",23,2,6,1,100
"22",24,NA,NA,NA,NA
"23",26,1,100,100,100
"24",28,NA,NA,NA,NA
"25",29,28,15,100,100
"26",30,1,1,9,4
"27",31,NA,NA,NA,NA
"28",32,1,1,3,100
"29",33,1,1,1,2
"30",34,NA,NA,NA,NA
"31",35,NA,NA,NA,NA
"32",36,NA,NA,NA,NA
"33",37,2,7,2,21
"34",38,1,15,65,100
"35",39,69,100,100,100
"36",40,NA,NA,NA,NA
"37",41,1,4,4,7
"38",43,3,5,7,100
"39",44,NA,NA,NA,NA
"40",46,54,100,100,100
"41",47,27,100,100,100
"42",48,NA,NA,NA,NA
"43",49,NA,NA,NA,NA
"44",50,NA,NA,NA,NA
"45",51,3,100,100,100
"46",52,NA,NA,NA,NA
"47",53,1,1,100,100
"48",55,NA,NA,NA,NA
"49",56,95,87,100,100
"50",57,1,1,4,19
"51",58,NA,NA,NA,NA
"52",59,NA,NA,NA,NA
"53",60,1,100,100,100
"54",62,NA,NA,NA,NA
"55",63,NA,NA,NA,NA
"56",64,4,100,100,100
"57",65,NA,NA,NA,NA
"58",67,NA,NA,NA,NA
"59",68,100,1,24,100
"60",69,16,100,100,100
"61",70,NA,NA,NA,NA
"62",71,18,100,100,100
"63",72,39,43,26,100
"64",73,89,100,100,100
"65",74,NA,NA,NA,NA
"66",76,NA,NA,NA,NA
"67",77,NA,NA,NA,NA
"68",78,NA,NA,NA,NA
"69",79,1,100,100,100
"70",80,100,76,27,100
"71",81,NA,NA,NA,NA
"72",83,6,100,100,100
"73",84,2,2,8,9
"74",85,1,1,1,3
"75",86,1,2,3,1
"76",87,54,100,100,100
"77",88,2,100,100,100
"78",89,75,100,100,100
"79",90,NA,NA,NA,NA
"80",91,NA,NA,NA,NA
"81",94,1,10,51,100
"82",95,NA,NA,NA,NA
"83",96,2,40,100,100
"84",97,1,100,100,100
"85",98,1,8,100,100
"86",99,NA,NA,NA,NA
"87",100,7,100,100,100
"88",101,3,1,1,31
"89",102,NA,NA,NA,NA
"90",103,NA,NA,NA,NA
"91",104,NA,NA,NA,NA
"92",105,NA,NA,NA,NA
"93",106,1,100,100,100
"94",107,1,49,100,100
"95",108,1,1,4,100
"96",109,1,1,1,4
"97",110,21,100,100,100
"98",111,1,100,100,100
"99",112,1,2,3,100
"100",113,1,2,20,100
"101",114,1,8,100,100
"102",115,24,29,100,100
"103",116,1,1,2,5
