"","ID","nstate"
"1",101,4
"2",102,NA
"3",103,5
"4",104,4
"5",105,4
"6",106,5
"7",107,5
"8",108,5
"9",109,4
"10",111,2
"11",112,5
"12",113,3
"13",114,4
"14",116,5
"15",117,4
"16",119,4
"17",120,5
"18",121,5
"19",122,4
"20",123,5
"21",124,4
"22",126,3
"23",127,5
"24",128,2
"25",130,2
"26",131,3
"27",132,5
"28",135,3
"29",136,3
"30",138,5
"31",139,5
"32",140,4
"33",142,3
"34",144,4
"35",145,5
"36",146,4
"37",147,4
"38",149,4
"39",150,3
"40",151,5
"41",152,4
"42",153,2
"43",154,4
"44",155,2
"45",157,4
"46",159,5
"47",160,4
"48",161,3
"49",162,4
"50",163,4
"51",165,3
"52",166,3
"53",167,2
"54",168,2
"55",169,3
"56",170,3
"57",172,4
"58",173,5
"59",174,3
"60",175,3
"61",176,2
