"","ID","nstate"
"1",2,NA
"2",3,4
"3",4,4
"4",6,5
"5",8,5
"6",9,2
"7",10,5
"8",12,3
"9",13,NA
"10",17,5
"11",20,5
"12",23,5
"13",26,4
"14",28,5
"15",31,4
"16",34,5
"17",38,5
"18",39,5
"19",41,3
"20",43,4
"21",46,4
"22",47,5
"23",48,4
"24",52,5
"25",57,4
"26",74,5
"27",82,4
"28",84,4
"29",90,4
"30",94,3
"31",105,4
"32",107,4
"33",124,5
"34",125,4
"35",128,4
"36",154,4
"37",162,4
"38",172,3
"39",173,4
"40",181,5
"41",184,3
"42",186,3
"43",195,4
"44",202,5
"45",236,5
"46",239,NA
"47",258,4
"48",259,2
"49",271,4
"50",281,3
"51",288,5
"52",300,5
"53",306,4
"54",323,3
"55",332,5
"56",352,5
"57",359,5
"58",364,4
"59",367,5
"60",370,5
"61",376,5
"62",379,2
"63",392,5
"64",394,4
"65",398,4
"66",405,5
"67",407,5
"68",426,4
"69",430,NA
"70",435,4
"71",447,3
"72",449,3
"73",451,4
"74",454,5
"75",461,4
"76",465,NA
"77",466,2
"78",497,4
"79",499,4
"80",500,5
"81",504,5
"82",512,5
"83",518,2
"84",520,5
"85",524,3
"86",526,4
"87",527,5
"88",529,3
"89",531,4
"90",536,4
"91",543,4
"92",556,4
"93",559,4
"94",560,5
"95",568,4
"96",587,4
"97",603,4
