"","ID","nstate"
"1",105,5
"2",106,5
"3",107,NA
"4",108,5
"5",109,3
"6",110,3
"7",111,3
"8",112,2
"9",113,5
"10",115,3
"11",116,NA
"12",117,4
"13",118,2
"14",121,4
"15",122,2
"16",123,5
"17",124,4
"18",125,NA
"19",126,4
"20",127,2
"21",128,4
"22",129,4
"23",130,3
"24",131,4
"25",132,4
"26",133,3
"27",134,NA
"28",135,4
"29",136,NA
"30",137,4
"31",138,NA
"32",139,5
"33",140,5
"34",141,5
"35",142,NA
"36",143,5
"37",145,5
"38",146,5
"39",147,NA
"40",148,4
"41",149,2
"42",150,5
"43",151,5
"44",152,3
"45",153,NA
"46",154,5
"47",156,NA
"48",158,2
"49",159,3
"50",160,4
"51",161,2
"52",162,NA
"53",164,4
"54",165,NA
"55",166,5
"56",167,NA
"57",168,NA
"58",169,NA
"59",170,NA
"60",172,5
"61",173,NA
"62",174,5
"63",175,NA
"64",176,5
"65",177,4
"66",180,4
"67",181,5
"68",183,2
"69",184,5
"70",186,NA
"71",187,3
"72",188,5
"73",189,3
"74",190,NA
"75",191,2
"76",192,4
"77",193,5
"78",194,3
"79",195,4
"80",196,NA
"81",197,5
"82",198,5
"83",200,5
"84",201,3
"85",202,4
"86",203,3
"87",204,3
"88",205,4
"89",206,NA
"90",207,3
"91",208,5
"92",209,4
"93",210,4
"94",212,2
"95",213,5
"96",214,2
"97",215,NA
"98",217,2
"99",218,2
"100",219,4
