"","ID","nstate"
"1",1,5
"2",2,3
"3",3,3
"4",4,5
"5",5,5
"6",6,4
"7",7,5
"8",8,3
"9",9,4
"10",10,4
"11",11,3
"12",12,3
"13",13,4
"14",14,5
"15",15,5
"16",16,4
"17",17,2
"18",18,3
"19",19,5
"20",20,5
"21",21,5
"22",22,4
"23",23,4
"24",24,4
"25",25,5
"26",26,NA
"27",27,5
"28",28,5
"29",29,3
"30",30,2
"31",31,4
"32",32,5
"33",33,5
"34",34,5
"35",35,4
"36",36,4
"37",37,4
"38",38,5
"39",39,4
"40",40,NA
"41",41,NA
"42",42,5
"43",43,4
"44",44,5
"45",45,5
"46",46,5
"47",47,4
"48",48,4
"49",49,4
"50",50,NA
"51",51,5
"52",52,5
"53",53,5
"54",54,5
"55",55,NA
"56",56,5
"57",57,4
"58",58,5
"59",59,3
"60",60,5
"61",61,5
"62",62,5
"63",63,5
"64",64,4
"65",65,5
"66",66,5
"67",67,5
"68",68,3
"69",69,5
"70",70,4
"71",71,4
"72",72,5
"73",73,5
"74",74,NA
"75",75,3
"76",76,4
"77",77,4
"78",78,4
"79",79,3
