"","ID","nstate"
"1",1,3
"2",2,2
"3",3,NA
"4",4,3
"5",5,NA
"6",6,NA
"7",7,NA
"8",8,3
"9",9,4
"10",10,NA
"11",11,2
"12",12,4
"13",13,3
"14",14,5
"15",15,5
"16",16,2
"17",17,2
"18",18,3
"19",19,NA
"20",20,NA
"21",21,NA
"22",22,5
"23",23,3
"24",24,2
"25",25,4
"26",26,5
"27",27,2
"28",28,NA
"29",29,5
"30",30,4
"31",31,3
"32",32,NA
"33",33,3
"34",34,NA
"35",35,4
"36",36,3
"37",37,4
"38",38,NA
"39",39,4
"40",40,NA
"41",41,4
"42",42,3
"43",43,4
"44",44,NA
"45",45,5
"46",46,2
"47",47,NA
"48",48,5
"49",49,NA
"50",50,3
"51",51,NA
"52",52,4
"53",53,NA
"54",54,5
"55",55,NA
"56",56,3
"57",57,NA
"58",58,2
"59",59,NA
"60",60,3
"61",61,NA
"62",62,NA
"63",63,4
"64",64,NA
"65",65,4
"66",66,2
"67",67,5
"68",68,NA
"69",69,4
"70",70,NA
"71",71,3
"72",72,NA
"73",73,NA
"74",74,NA
"75",75,2
"76",76,5
"77",77,5
"78",78,NA
"79",79,4
"80",80,2
"81",81,3
"82",82,NA
"83",83,2
"84",84,2
"85",85,2
"86",86,5
"87",87,NA
"88",88,NA
"89",89,NA
"90",90,2
"91",91,3
"92",92,NA
"93",93,4
"94",94,2
"95",95,3
"96",96,4
"97",97,3
