"","ID","nstate"
"1",1,5
"2",2,4
"3",3,5
"4",4,5
"5",6,4
"6",7,5
"7",8,5
"8",10,5
"9",11,4
"10",12,5
"11",13,5
"12",14,5
"13",15,5
"14",18,2
"15",19,5
"16",21,5
"17",22,5
"18",23,5
"19",24,5
"20",25,5
"21",26,4
"22",27,5
"23",28,5
"24",29,NA
"25",30,4
"26",31,5
"27",32,5
"28",33,3
"29",34,3
"30",35,5
"31",36,4
"32",37,5
"33",39,5
"34",40,5
"35",41,3
"36",43,5
"37",46,4
"38",47,2
"39",48,5
"40",50,5
"41",51,5
"42",52,5
"43",53,5
"44",55,5
"45",56,5
"46",57,5
"47",58,3
"48",60,NA
"49",61,5
"50",62,3
"51",63,5
"52",64,5
"53",66,4
"54",67,5
"55",68,5
"56",70,4
"57",71,5
"58",72,3
"59",74,5
"60",79,4
"61",80,5
"62",81,5
"63",84,5
"64",86,NA
"65",87,5
"66",88,5
"67",93,4
"68",94,5
"69",95,NA
"70",96,3
"71",97,5
"72",99,5
"73",100,5
"74",101,5
"75",102,5
"76",103,3
"77",104,3
"78",105,4
"79",106,4
"80",107,5
"81",108,5
"82",109,5
"83",110,2
"84",111,4
"85",112,5
"86",113,5
"87",114,4
"88",115,2
"89",116,5
"90",117,4
"91",118,2
"92",119,5
"93",120,4
"94",121,3
"95",122,2
"96",123,4
"97",124,2
"98",125,5
"99",126,5
"100",127,5
"101",128,5
"102",129,5
"103",130,5
"104",131,2
"105",132,4
"106",133,5
"107",134,5
"108",135,5
"109",137,5
"110",138,5
"111",139,3
"112",140,NA
"113",141,5
"114",143,5
"115",145,5
"116",146,5
"117",147,4
"118",148,4
"119",152,5
"120",154,4
"121",156,5
"122",159,2
"123",161,5
"124",163,5
"125",164,4
