"","ID","nstate"
"1",1,4
"2",2,4
"3",3,5
"4",4,4
"5",5,5
"6",6,5
"7",7,5
"8",8,5
"9",9,4
"10",10,3
"11",11,4
"12",12,3
"13",13,5
"14",14,3
"15",15,4
"16",16,4
"17",17,4
"18",18,4
"19",19,3
"20",20,4
"21",21,5
"22",22,4
"23",23,5
"24",24,5
"25",25,5
"26",26,4
"27",27,5
"28",28,3
"29",29,5
"30",30,5
"31",31,5
"32",32,4
"33",33,5
"34",34,4
"35",35,4
"36",36,4
"37",37,5
"38",38,4
"39",39,4
"40",40,3
"41",41,4
"42",42,4
"43",43,4
"44",44,4
"45",45,4
"46",46,5
"47",47,5
"48",48,4
"49",49,4
"50",50,5
"51",51,4
"52",52,4
"53",53,4
"54",54,4
"55",55,4
"56",56,3
"57",57,5
"58",58,3
"59",59,5
"60",60,4
"61",61,4
"62",62,4
"63",63,3
"64",64,4
"65",65,4
"66",66,5
"67",67,4
"68",68,3
"69",69,5
"70",70,4
"71",71,5
"72",72,4
"73",73,5
"74",74,5
"75",75,3
"76",76,5
"77",77,3
"78",78,5
"79",79,4
"80",80,4
"81",81,5
"82",82,5
"83",83,5
"84",84,4
"85",85,4
"86",86,4
"87",87,4
"88",88,4
"89",89,4
"90",90,5
"91",91,4
"92",92,5
"93",93,5
"94",94,5
"95",95,3
"96",96,5
"97",97,5
"98",98,5
"99",99,4
"100",100,3
"101",101,4
"102",102,5
"103",103,4
"104",104,2
"105",105,4
"106",106,5
"107",107,3
"108",108,5
"109",109,3
"110",110,5
"111",111,4
"112",112,5
"113",113,5
"114",114,5
"115",115,4
"116",116,4
"117",117,5
"118",118,5
"119",119,5
"120",120,3
"121",121,5
"122",122,4
"123",123,3
"124",124,4
"125",125,4
"126",126,3
"127",127,3
"128",128,4
"129",129,5
"130",130,4
"131",131,4
"132",132,4
"133",133,4
"134",134,5
"135",135,4
"136",136,4
"137",137,3
"138",138,5
