"","ID","nstate"
"1",1,NA
"2",2,2
"3",3,2
"4",4,3
"5",5,2
"6",6,3
"7",9,2
"8",10,2
"9",11,NA
"10",12,NA
"11",13,3
"12",14,NA
"13",15,NA
"14",16,4
"15",17,NA
"16",18,4
"17",19,NA
"18",20,NA
"19",21,2
"20",22,NA
"21",23,4
"22",24,NA
"23",26,2
"24",28,NA
"25",29,2
"26",30,4
"27",31,NA
"28",32,4
"29",33,5
"30",34,NA
"31",35,NA
"32",36,NA
"33",37,5
"34",38,4
"35",39,2
"36",40,NA
"37",41,5
"38",43,4
"39",44,NA
"40",46,2
"41",47,2
"42",48,NA
"43",49,NA
"44",50,NA
"45",51,2
"46",52,NA
"47",53,3
"48",55,NA
"49",56,3
"50",57,4
"51",58,NA
"52",59,NA
"53",60,2
"54",62,NA
"55",63,NA
"56",64,2
"57",65,NA
"58",67,NA
"59",68,4
"60",69,2
"61",70,NA
"62",71,2
"63",72,4
"64",73,2
"65",74,NA
"66",76,NA
"67",77,NA
"68",78,NA
"69",79,2
"70",80,3
"71",81,NA
"72",83,2
"73",84,5
"74",85,5
"75",86,4
"76",87,2
"77",88,2
"78",89,2
"79",90,NA
"80",91,NA
"81",94,4
"82",95,NA
"83",96,3
"84",97,2
"85",98,3
"86",99,NA
"87",100,2
"88",101,5
"89",102,NA
"90",103,NA
"91",104,NA
"92",105,NA
"93",106,2
"94",107,3
"95",108,4
"96",109,5
"97",110,2
"98",111,2
"99",112,4
"100",113,3
"101",114,3
"102",115,3
"103",116,4
