"","ID","nstate"
"1",1011,4
"2",1012,3
"3",1014,4
"4",1015,4
"5",1016,4
"6",1017,5
"7",1018,2
"8",1019,3
"9",1020,4
"10",1021,NA
"11",1022,4
"12",1023,4
"13",1024,5
"14",1025,3
"15",1026,5
"16",1027,2
"17",1028,5
"18",1029,2
"19",1030,3
"20",1031,NA
"21",1032,3
"22",1033,3
"23",1034,5
"24",1035,5
"25",1036,5
"26",1037,4
"27",1038,NA
"28",1039,3
"29",1040,4
"30",1041,NA
"31",1042,3
"32",1044,5
"33",1045,4
"34",1046,NA
"35",1047,4
"36",1049,3
"37",1050,5
"38",1051,3
"39",1052,3
"40",1054,4
"41",1056,5
"42",1057,5
"43",1059,2
"44",1060,5
"45",1061,5
"46",1062,5
"47",1063,2
"48",1064,4
"49",1065,3
"50",1067,4
"51",1068,NA
"52",1070,4
"53",1071,4
"54",1072,2
"55",1073,3
"56",1074,5
"57",1075,4
"58",1076,4
"59",1077,3
"60",1078,4
"61",1080,4
"62",1082,4
"63",1083,5
"64",1084,3
"65",1086,3
"66",1087,5
"67",1088,5
"68",1089,4
"69",1090,5
"70",1091,NA
"71",1092,4
"72",1093,5
"73",1094,3
"74",1095,5
"75",1096,5
"76",1097,5
"77",1098,4
"78",1099,3
"79",1100,4
"80",1101,5
"81",1102,3
