"","ID","Lively","FullOfEnergy","Energetic","Happy","Pleased","Helpful","AtEase","Calm","Relaxed","Sad","Depressed","Unhappy","OnEdge","Nervous","Tense","Hostile","Resentful","Angry"
"1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",7,0.270668128435149,0.307398579220366,0.284403040870656,0.213243987782963,0.262008733751612,0.253514269497673,0.277579006526893,0.241012035580496,0.228162351623055,0.154523528885761,0.133231490443559,0.227079927145041,0.24231151024212,0.22892715066982,0.338805878850387,0.228867615136552,0.260808003218514,0.282031638179828
"5",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",11,0.284822275674681,0.229081636609761,0.284702159200024,0.26945685371432,0.218904001421354,0.216318762852341,0.291152434064932,0.405256920128574,0.40667001559048,0.242490265625303,0.232223256000054,0.267451589585925,0.343281066599289,0.407411093520888,0.37482040676689,0.140350199129859,0.0445045935029943,0.0996643456089974
"8",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",17,0.355535563062667,0.245363358449644,0.212766738744143,0.195385949169232,0.330763467699294,0.133225556883943,0.205264270301949,0.461955100388709,0.30627706305202,0.108749001646537,0.231619933947712,0.28249512039826,0.109400675306983,0.195483824217691,0.130651248599736,0.0503961215447074,0.108035454302679,0.0642343187985149
"12",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",20,0.226992902414124,0.240552330201517,0.257943449339318,0.278690577192781,0.233287460603805,0.350225817590412,0.309949698119822,0.325734793783062,0.362950891784006,0.254582473135779,0.254317451388208,0.235003583287674,0.150731140731921,0.236743304602429,0.218818849243063,0.254296513269388,0.000798286117179482,0.159041929629017
"14",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",22,0.120349106135925,0.00152451862401862,0.0794021796551265,0.187158953639055,0.100366083616331,0.0146180977804583,0.0496671610856188,0.132745007541976,0.110249866763791,0.261208608927615,0.14419711327411,0.295883086117261,0.178174161275024,0.245434946827208,0.228993450916901,0.0720202275701696,0.361848039450871,0.237799683924563
