"","ID","Atease","Calm","Relaxed","Drowsy","Sluggish","Tired","Content","Pleased","Happy","Alert","Aroused","Hyperactivated","Miserable","Troubled","Unhappy","Sleepy","Quiet","Still","Afraid","Ashamed","Distressed","Guilty","Hostile","Irritable","Jittery","Nervous","Scared","Upset","Active","Alone","Attentive","Determined","Enthusiastic","Excited","Inspired","Interested","Proud","Strong"
"1",7,0.23617101636567,0.301150913045243,0.397358174092995,0.310875406744436,0.360893809262207,0.363333616490998,0.278013788626871,0.321150836963419,0.359365438681182,0.367776798700722,0.330621686506613,0.232134264753026,0.42061707559232,0.382685308402988,0.161939123856439,0.277481323288005,0.204633819296811,0.237149134373618,0.348475515904899,0.23635064102812,0.431152513284956,0.381665723218415,0.179634402380275,0.200090000325985,0.301227768846565,0.314576434802948,0.285580233837792,0.157820807903798,0.378672008091348,0.271024386554044,0.278471356330048,0.296307870144323,0.421029626632209,0.305664963577522,0.297559517855952,0.353553390593274,0.29122541578364,0.297559517855952
"2",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",28,0.203960161188685,0.281254694132092,0.373363853677911,0.243460899621196,0.199361758491698,0.278978923216629,0.223557065022022,0.205381434226714,0.208402342069927,0.26230204151821,0.129142814074007,0.263381316709011,0.186962907371566,0.259207950834718,0.320843442342397,0.266822702661813,0.123811308350974,0.235708519348468,0.204124542027891,0.121739541977566,0.247746287783863,0.188822270395834,0.30618621699367,0.149696106545854,0.204452902126001,0.178563584723644,0.18770694306544,0.348972870469368,0.308614317458045,0.249477012944966,0.118085074515447,0.216243998673879,0.105501950229873,0.287604000965801,0.265076739219365,0.129142811507019,0.161276169618861,0.216433217181792
"9",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",43,0.0973312880302611,0.0904272267258779,0.167238602003246,0.0360843918243516,0.145694378243815,0.11469060635111,0.0734405781466794,0.187762162401347,0.102062072615966,0.102062072615966,0.101863425268383,0.116567418101985,0.124837857802594,0.18900629521164,0.204237516051687,0.11569536147429,0.0272165526975908,0.0818266573425302,0.108253175473055,0.124837857802594,0.196438191202635,0.14497764834111,0.199202693161922,0.156050798946535,0.209896910322575,0.124837857802594,0.12539290103363,0.190940653956493,0.188085505575011,0.120881216566175,0.102965294404726,0.157985729547769,0.146585362565703,0.219492786517765,0.16409473889596,0.130813869748274,0.13447858840998,0.179263539702491
"15",47,0.125000337521556,0.289265702929996,0.190940729890413,0.173226760350581,0.20841408776331,0.104024541223128,0.203933722114329,0.150197135787577,0.112367128293589,0.103904397830172,0.21363067459748,0.213460437337181,0.28942383973036,0.208655617734232,0.191094803490688,0.125193431282992,0.124805196280282,0.208490941439492,0.144471513942982,0.112299471444627,0.196478385974328,0.17293482724491,0.225178672128496,0.220565342184339,0.247402866007796,0.213685379651041,0.204404607995426,0.187521952783273,0.217519652639195,0.225338947623087,0.192051944147882,0.190588061404798,0.125111850699389,0.157345518501012,0.173125844945602,0.125173112997609,0.139606022437532,0.0208049258213915
"16",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
